Date,Year,DayOfYear,Daily_Spending_RM
2016-01-01,2016,1,61.26
2016-01-02,2016,2,39.67
2016-01-03,2016,3,118.2
2016-01-04,2016,4,31.14
2016-01-05,2016,5,94.72
2016-01-06,2016,6,37.5
2016-01-07,2016,7,29.74
2016-01-08,2016,8,68.74
2016-01-09,2016,9,32.22
2016-01-10,2016,10,82.6
2016-01-11,2016,11,108.6
2016-01-12,2016,12,32.35
2016-01-13,2016,13,80.08
2016-01-14,2016,14,23.86
2016-01-15,2016,15,34.06
2016-01-16,2016,16,37.63
2016-01-17,2016,17,51.59
2016-01-18,2016,18,28.78
2016-01-19,2016,19,20.04
2016-01-20,2016,20,25.5
2016-01-21,2016,21,29.83
2016-01-22,2016,22,30.58
2016-01-23,2016,23,38.84
2016-01-24,2016,24,37.04
2016-01-25,2016,25,29.6
2016-01-26,2016,26,37.38
2016-01-27,2016,27,81.51
2016-01-28,2016,28,31.53
2016-01-29,2016,29,33.79
2016-01-30,2016,30,72.97
2016-01-31,2016,31,42.16
2016-02-01,2016,32,36.79
2016-02-02,2016,33,33.31
2016-02-03,2016,34,37.88
2016-02-04,2016,35,106.25
2016-02-05,2016,36,34.36
2016-02-06,2016,37,51.46
2016-02-07,2016,38,49.82
2016-02-08,2016,39,37.71
2016-02-09,2016,40,42.82
2016-02-10,2016,41,24.79
2016-02-11,2016,42,31.52
2016-02-12,2016,43,96.1
2016-02-13,2016,44,51.25
2016-02-14,2016,45,132.12
2016-02-15,2016,46,41.05
2016-02-16,2016,47,116.23
2016-02-17,2016,48,107.42
2016-02-18,2016,49,48.27
2016-02-19,2016,50,43.36
2016-02-20,2016,51,29.62
2016-02-21,2016,52,54.42
2016-02-22,2016,53,42.89
2016-02-23,2016,54,26.37
2016-02-24,2016,55,43.11
2016-02-25,2016,56,29.95
2016-02-26,2016,57,27.96
2016-02-27,2016,58,123.3
2016-02-28,2016,59,59.81
2016-02-29,2016,60,34.25
2016-03-01,2016,61,116.2
2016-03-02,2016,62,109.3
2016-03-03,2016,63,51.69
